Country,Country ISO3,Relevant target,Relevant target (Unofficial English translation generated by Artificial Intelligence),Implemented Action,Other implemented action,Other implemented action (Unofficial English translation generated by Artificial Intelligence),Location,Location (Unofficial English translation generated by Artificial Intelligence),Date the action started,Extent of action,Total area implemented,Geometry UID,Geometry type
South Africa,ZAF,Improve productivity and SOC stocks in 60000 km2 of cropland by 2030,NA,Other,"Cultivation using Conservation Agriculture Practice (minimum tillage, soil cover and crop rotation)",NA,NA,NA,2020-03-01,123.0,123.0,NA,NA
South Africa,ZAF,Rehabilitate and sustainably manage 18095 km2 of “forest” (i.e. following FAO land cover classification that includes savanna) by 2030 ,NA,Same As Targeted Actions,NA,NA,NA,NA,2020-03-01,97.0,97.0,NA,NA
South Africa,ZAF,"Rehabilitate and sustainably manage 72745 km2 of shrubland, grassland and sparsely vegetated areas showing early signs of decline and showing declining productivity",NA,Same As Targeted Actions,NA,NA,national,national,2020-03-01,7942.0,7942.0,NA,NA
South Africa,ZAF,Rehabilitate 620 km2 wetlands by 2030,Rehabilitate 620 km2 wetlands by 2030,Other,"Targetted actions + removing inasive species, construction of soil cultivation structures",NA,NA,NA,2020-03-01,505.0,505.0,NA,NA
South Africa,ZAF,Rehabilitate 3500 km2 of artificial areas by 2030,NA,Same As Targeted Actions,NA,NA,NA,NA,2020-03-01,4.8,4.8,NA,NA
South Africa,ZAF,Clear 6335 km2 of bush encroached land by 2030,NA,Same As Targeted Actions,NA,NA,NA,NA,2020-03-01,409.0,409.0,NA,NA
South Africa,ZAF,Clear 10640 km2 of alien invasive species by 2030,NA,Same As Targeted Actions,NA,NA,NA,NA,2020-03-01,4089.0,4089.0,NA,NA
